label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
handrail,26,21,14,23.08,3.85,11,42.31,0.21,84.62,26.32,78.95,2.3846,9.6635,Q1:6|Q2:2|Q5:1|Q3:1|Q4:1
handlebar,30,29,15,10.0,0.0,11,36.67,0.21,70.0,29.63,66.67,2.1,2.0287,Q2:4|Q1:3|Q5:3|Q3:3
balcony,35,32,15,11.43,2.86,11,31.43,0.21,60.0,23.33,53.33,2.2857,7.9391,Q1:4|Q2:4|Q5:2|Q3:1|Q4:1
pillow,37,34,17,18.92,0.0,11,29.73,0.21,48.65,13.33,36.67,1.4595,22.1416,Q1:7|Q5:3|Q2:2|Q3:1|Q4:1
sill,39,34,17,10.26,5.13,11,28.21,0.21,58.97,21.21,51.52,2.6923,12.4713,Q2:6|Q1:4|Q5:1
molding,45,39,18,2.22,2.22,11,24.44,0.21,64.44,23.26,62.79,2.4,21.6291,Q5:6|Q2:4|Q4:1|Q3:1|Q1:1
shrub,46,41,19,0.0,0.0,11,23.91,0.21,63.04,23.91,63.04,1.4565,14.9946,Q2:11|Q4:1|Q5:1
chin,59,58,19,0.0,1.69,11,18.64,0.21,54.24,18.97,53.45,3.2542,0.7547,Q2:8|Q4:2|Q3:1|Q5:1
hood,66,61,20,6.06,1.52,11,16.67,0.21,45.45,11.48,40.98,2.6061,5.4418,Q3:5|Q1:4|Q2:2|Q4:1|Q5:1
mirror,68,61,18,2.94,1.47,11,16.18,0.21,51.47,13.85,49.23,1.6765,11.4354,Q2:7|Q5:3|Q1:2|Q3:1|Q6:1
cap,105,99,20,5.71,0.95,11,10.48,0.21,40.95,5.1,36.73,2.5143,6.786,Q1:6|Q2:2|Q5:2|Q6:1|Q8:1
mullion,13,13,8,46.15,7.69,10,76.92,0.19,100.0,66.67,100.0,3.2308,4.8562,Q1:6|Q2:4
cushion,38,31,17,5.26,0.0,10,26.32,0.19,55.26,22.22,52.78,2.1316,17.8711,Q2:3|Q3:2|Q1:2|Q4:2|Q5:1
backrest,60,57,18,0.0,0.0,10,16.67,0.19,53.33,16.67,53.33,2.1167,17.4515,Q2:4|Q3:4|Q4:2|Q5:2
chair,75,74,18,0.0,1.33,10,13.33,0.19,42.67,13.51,41.89,1.0933,20.846,Q5:4|Q4:3|Q2:3|Q3:1|Q8:1
plate,82,78,18,6.1,0.0,10,12.2,0.19,34.15,6.49,29.87,1.2439,45.7429,Q1:5|Q2:3|Q5:2
lid,95,81,20,6.32,2.11,10,10.53,0.19,36.84,4.6,31.03,2.2947,9.0496,Q1:6|Q2:2|Q5:2|Q3:1
pants,138,124,20,0.0,0.0,10,7.25,0.19,42.75,7.25,42.75,2.0797,16.8195,Q2:5|Q4:2|Q3:1|Q7:1|Q5:1
counter,17,14,11,29.41,11.76,9,52.94,0.17,70.59,40.0,50.0,1.4706,22.8041,Q1:5|Q3:2|Q4:2|Q8:1
skin,24,22,12,4.17,4.17,9,37.5,0.17,62.5,36.36,59.09,2.6667,12.7171,Q2:7|Q3:3|Q5:2|Q1:1|Q4:1
tray,28,26,13,14.29,3.57,9,32.14,0.17,60.71,21.74,52.17,1.5,24.2354,Q3:4|Q1:4|Q2:3|Q4:1
mesh,28,25,15,7.14,0.0,9,32.14,0.17,67.86,26.92,65.38,2.2857,22.0218,Q2:7|Q3:3|Q1:2|Q6:1|Q4:1
beam,29,27,17,17.24,3.45,9,31.03,0.17,68.97,17.39,60.87,2.4483,14.8866,Q1:5|Q2:4|Q4:1|Q5:1
shoulder,33,32,17,21.21,0.0,9,27.27,0.17,72.73,7.69,65.38,2.7273,3.9712,Q1:7|Q2:2|Q4:1|Q5:1
hinge,34,31,16,5.88,2.94,9,26.47,0.17,55.88,22.58,51.61,2.2647,4.4544,Q2:3|Q1:2|Q3:2|Q5:1|Q4:1
zipper,41,36,18,12.2,9.76,9,21.95,0.17,68.29,12.5,59.38,2.9268,2.7985,Q1:5|Q3:4|Q2:2
plant,42,39,18,0.0,0.0,9,21.43,0.17,47.62,21.43,47.62,1.2143,17.8121,Q2:7|Q8:2|Q4:1|Q5:1
paper,45,39,19,8.89,4.44,9,20.0,0.17,55.56,12.82,48.72,1.6444,20.1498,Q1:4|Q2:3|Q3:3|Q4:1|Q5:1
wing,52,49,17,5.77,1.92,9,17.31,0.17,51.92,12.5,47.92,2.1538,9.3794,Q1:3|Q4:3|Q2:2|Q3:1
windshield,54,48,20,5.56,1.85,9,16.67,0.17,48.15,12.0,44.0,2.3333,6.2343,Q3:4|Q1:3|Q5:2|Q2:1
bumper,76,66,20,3.95,3.95,9,11.84,0.17,42.11,8.57,37.14,2.1579,5.5996,Q4:3|Q1:3|Q2:2|Q8:1|Q5:1
twig,15,13,10,0.0,13.33,8,53.33,0.15,80.0,61.54,76.92,2.4,16.4287,Q2:8
toy,18,17,11,11.11,5.56,8,44.44,0.15,83.33,40.0,80.0,1.3333,21.1122,Q5:3|Q3:3|Q1:2|Q4:2|Q6:1
arch,19,17,13,15.79,0.0,8,42.11,0.15,78.95,31.25,75.0,2.8947,8.6516,Q5:3|Q1:3|Q6:2|Q2:1|Q3:1
spectator,20,19,13,0.0,0.0,8,40.0,0.15,95.0,40.0,95.0,1.3,62.3355,Q2:5|Q3:3|Q7:1
plank,21,19,13,0.0,4.76,8,38.1,0.15,71.43,40.0,70.0,2.5238,27.4686,Q2:8|Q5:1|Q3:1
bed,23,21,13,4.35,0.0,8,34.78,0.15,73.91,31.82,72.73,1.1304,49.7748,Q5:6|Q2:4|Q8:3|Q3:3|Q4:1
marking,23,22,13,4.35,0.0,8,34.78,0.15,82.61,31.82,81.82,2.3478,14.4213,Q5:5|Q2:3|Q1:1|Q3:1|Q6:1
reflection,25,25,15,8.0,0.0,8,32.0,0.15,80.0,26.09,78.26,2.4,14.9504,Q2:4|Q5:3|Q1:2|Q3:2|Q4:1
text,25,22,12,0.0,0.0,8,32.0,0.15,76.0,32.0,76.0,2.84,9.708,Q2:7|Q6:1|Q5:1
basket,26,23,16,7.69,0.0,8,30.77,0.15,38.46,25.0,33.33,1.4231,6.36,Q3:3|Q1:2|Q2:2|Q4:1
bicycle,30,28,14,0.0,3.33,8,26.67,0.15,60.0,27.59,58.62,1.3333,12.7517,Q4:5|Q2:3|Q8:1|Q7:1|Q3:1
lip,36,34,19,8.33,8.33,8,22.22,0.15,80.56,16.67,76.67,4.0278,0.5992,Q4:3|Q1:3|Q5:2|Q2:1
nostril,40,40,19,17.5,0.0,8,20.0,0.15,50.0,3.03,39.39,3.675,1.329,Q1:7|Q3:1
brim,43,42,17,4.65,0.0,8,18.6,0.15,48.84,14.63,46.34,3.7209,4.2207,Q2:5|Q1:2|Q5:1|Q4:1
